Maker Wise Vehicle Category Data  For All State ( Till Today ),,,,,,,,,,,,,,,,,,,
S No,                      Maker                       ,Vehicle Category ,,,,,,,,,,,,,,,,,     TOTAL     
,,,,,,,,,,,,,,,,,,,
,,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,
53,ADAPT MOTORS PVT LTD,0,10,0,0,0,30,0,1,0,0,4,4,1,2,0,0,0,52
54,ADARSH TRAILER,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,42
55,ADHIKARY TRAILOR,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,146
56,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,47,0,0,0,0,0,2,8,0,961,"15,868",1,14,35,0,22,"16,958"
57,ADIDEV TECHNOA PVT LTD,0,0,0,0,0,"3,673",0,0,0,0,0,1,0,0,0,0,1,"3,675"
58,ADIDEVYUG IMPEX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,ADISHAKTI TRACTORS,0,6,0,0,0,1,0,3,3,0,"3,260",576,1,0,2,0,2,"3,854"
60,ADISHWAR AUTO RIDE INDIA PVT.LTD,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
61,ADISHWAR AUTO RIDE INDIA PVT LTD,0,"7,396",1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,"7,401"
62,ADITI TRACTOR AND FARM EQUIPMENT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
63,ADITYA AGRO INDUSTRIES,0,10,0,0,0,25,0,64,2,0,"1,274",323,1,2,2,0,9,"1,712"
64,ADITYA ENGINEERING,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
65,ADITYA ENTERPRISES,0,8,0,0,0,10,0,0,3,0,5,10,0,0,1,0,1,38
66,ADITY AGRO ENG PVT LTD,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
67,ADITYA INDUSTRIES,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
68,ADITYA SAI INDUSTRIES,0,0,0,0,0,"1,579",0,1,2,0,22,26,4,2,4,0,1,"1,641"
69,ADITYA STEEL AND AGRO INDUSTRY,0,0,0,0,0,0,0,0,0,0,42,0,0,1,0,0,0,43
70,ADLER WERKE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
71,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,520
72,ADRIS ELECTRIC PVT LTD,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
73,ADVAITH MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
74,ADVANCE CONSTRUCTON TECH P LTD,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,6
75,AEC TRAILERS,0,10,0,0,0,5,0,3,86,1,128,419,1,0,5,1,22,681
76,AEKAM AGRO,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50
77,AERODRIVE PVT LTD,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,172
78,AEROEAGLE AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,103
79,A E W GANGAVATI,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4
80,AFFLATUS ENGG ENTPRISES,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
81,AFFLATUS ENGINEERING ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
82,AFKON AUTOMOTIVES PVT LTD,0,0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,660
83,AFREEN AGRO ENGG WORKS HUBLI,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,11
84,AFTEK MOTORS INDIA PVT LTD,0,413,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,414
85,"AFZAL ENGG WORKS,JUNAGARH",0,0,0,0,0,0,0,1,0,0,"1,153",3,0,0,0,0,0,"1,157"
86,AGARWAL TRAILER ZONE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
87,A G A WORKS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
88,AGGARWAL BROTHERS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
89,AGI AUTO INDUSTRIES,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
90,"AGNEE IRON WORKS,BARIPADA",0,1,0,0,0,1,0,0,0,0,53,1,1,0,0,0,0,57
91,AGP ENGINEERING PRODUCTS,0,2,0,0,0,2,0,3,2,0,18,12,1,0,2,0,1,43
92,AGRASEN ENGINEERING WORKS,0,5,0,0,0,3,0,56,2,0,"3,687",121,1,10,2,0,9,"3,896"
93,AGRAWAL RENEWABLE ENERGY PVT LTD,0,0,0,0,0,9,0,0,0,0,1,3,0,0,0,0,0,13
94,AGREETECH PUNE,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,7
95,AGRI EQUIPMENT,0,1,0,0,0,0,0,0,0,0,11,31,0,0,0,0,15,58
96,AGRIFAB ENG. SOLUTION,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
97,AGRI IMPLEMENTS,0,0,0,0,0,0,0,0,0,0,15,135,0,0,0,0,0,150
98,AGRI & IND. MACHINERY SUPPLIER,0,12,0,0,0,1,0,0,0,0,23,308,0,0,2,0,2,348
99,AGRI KING,0,1,0,0,0,0,0,0,0,0,19,126,1,0,0,0,64,211
100,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,0,0,0,0,0,1,0,0,123,689,1,0,17,0,4,835
101,AGRI MACHINERY MKT DIVISION,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
102,AGRI TECH ENGINEER,0,0,0,0,0,0,0,289,0,0,552,0,0,0,0,0,0,841
103,AGRI TRIALORS,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
104,AGRO AUTO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
105,AGRO INDUSTRIES,0,12,0,0,0,12,0,88,26,1,"5,828","4,591",9,37,182,0,134,"10,920"
106,AGROLUX TRACTOR,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,8
107,AGROTECHNICAL INDUSTRIES LTD,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
108,AGRO TRAILERS AP312870751,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,13
109,AGWAN AUTO IND PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
110,AHEMED GEN ENG,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,5
111,AHITESHAM AGRO ENGINEERING,0,1,0,0,0,1,0,0,0,0,13,74,0,0,1,0,0,90
112,AHMED MOTORS,0,20,0,0,0,0,0,2,0,0,192,21,0,0,0,0,1,236
113,AIMS FARM EQUIPMENTS PVT LTD,0,11,0,0,0,0,0,2,0,2,406,"3,847",0,17,0,0,4,"4,289"
114,AI SHRI KHODIYAR WELDING WORK,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
115,AISHWARYA AGRO SALES,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
116,AISHWARYA EARTH  MOVERS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,AISHWARYA TRAILERS,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
118,AJACO ENGINEERING PRODUCTS PVT LTD,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,9
119,AJANTA  AGRO,0,2,0,0,0,0,0,2,0,0,324,3,0,2,0,0,0,333
120,AJANTA KRUSHI YANTRA,0,3,0,0,0,4,0,0,1,0,12,649,0,0,0,0,2,671
121,AJAX ENGINEERING LTD,0,2,0,0,0,1,0,421,"1,612",0,47,817,0,254,"2,136",0,"15,637","20,927"
122,AJAX FIORI ENGINEERING PVT LTD,0,"8,474",0,0,0,8,2,"1,317",724,27,"2,739","1,640",39,817,"1,520",17,"1,322","18,646"
123,AJAY AGRO ENTERPRISES SAMBALPUR PARDHIAPALI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
124,"AJAY AGRO ENTERPRISES,SBP",0,0,0,0,0,0,0,2,0,0,557,46,1,2,1,0,1,610
125,AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16
126,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,1,0,0,0,0,0,2,2,0,84,77,0,0,0,0,3,169
127,AJAY ENTERPRISES,0,1,0,0,0,0,0,0,0,0,73,9,0,0,0,0,2,85
128,AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,68
129,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,0,564,0,0,0,0,1,0,1,0,0,0,0,566
130,A.J ENTERPRISES,0,2,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,297
131,AJIL FIBRETECH,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
132,AJINKYA TRAILER AND FABRICATOR,0,0,0,0,0,0,0,0,0,0,4,209,0,0,2,0,0,215
133,AJIT AGENCIES LTD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
134,AJIT AGRO INDUSTRIES,0,0,0,0,0,1,0,1,0,0,78,1,0,13,0,0,2,96
135,AJIT ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,8
136,AJS MOTORCYCLES LTD,0,205,0,0,1,1,0,123,4,0,98,153,2,7,11,0,0,605
137,AKAETR AKAE COUCH LEB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
