Maker Wise Vehicle Category Data  For All State ( Till Today ),,,,,,,,,,,,,,,,,,,
S No,                      Maker                       ,Vehicle Category ,,,,,,,,,,,,,,,,,     TOTAL     
,,,,,,,,,,,,,,,,,,,
,,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,
1724,GRAND CHEROKEE,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13
1725,GRANT AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,287,5,0,0,0,0,0,292
1726,GRD MOTORS,0,0,0,0,0,"16,699",0,0,0,0,0,5,0,0,1,0,3,"16,708"
1727,GREAT AUTOMOTIVE LIMITED,0,1,0,0,10,161,0,1,0,0,40,135,1,0,0,0,0,349
1728,GREAVES COTTON AND LTD,0,5,0,0,0,0,0,3,4,0,2,6,2,5,6,0,2,35
1729,GREAVES COTTON LTD.,0,"9,272",0,0,613,"1,349",0,756,29,593,"1,273","2,107",678,127,230,325,356,"17,708"
1730,GREAVES ELECTRIC MOBILITY PVT LTD,0,"90,330",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"90,334"
1731,GREAVES INDIA PVT LTD,0,588,0,0,689,"10,382",0,71,11,3,352,520,53,52,62,2,128,"12,913"
1732,GREAVES POWER TILLER,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,4,9
1733,GREEN AGE AGRO ENGINERING,0,0,0,0,0,0,0,0,0,0,49,72,0,0,19,0,0,140
1734,GREEN DRIVE AUTO COMPONENTS PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1735,GREENETICS INDUSTRIES PVT LTD,0,1,0,0,0,118,0,0,1,0,0,0,0,0,0,0,1,121
1736,GREEN EVOLVE PVT LTD,0,0,0,0,0,586,0,0,0,0,0,0,1,0,0,0,0,587
1737,GREEN FIELD FARM EQPMTS PVT LTD,0,12,0,0,1,18,0,117,17,11,62,440,11,7,3,5,20,724
1738,GREENFIT INDUSTRIES LLP,0,1,0,0,0,892,0,0,0,0,0,1,0,0,0,0,0,894
1739,GREEN FUEL ALTERNATIVES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1740,GREEN IMPEX,0,0,0,0,0,"3,403",0,0,0,1,0,1,0,0,0,0,0,"3,405"
1741,GREEN KAIKETSU AUTOMATIVE IND,0,1,0,0,0,277,0,0,0,0,0,0,1,0,1,0,0,280
1742,GREEN KAIKETSU AUTOMOTIVE INDIA PVT LTD,0,0,0,0,0,516,0,0,0,0,0,1,0,0,0,0,0,517
1743,GREEN SHUTTLE TECHNOLOGY PVT LTD,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,187
1744,GREEN STAR MOTORS,0,0,0,0,0,670,0,0,0,0,3,3,0,0,0,0,0,676
1745,GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,89
1746,GREENTECH AUTO LLP,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,86
1747,GREEN TECHNOLOGIES,0,8,0,0,0,"2,908",0,0,0,0,2,0,0,0,0,0,2,"2,920"
1748,GREEN VALLEY MOTORS,0,1,0,0,0,452,0,1,0,0,0,2,0,0,0,0,2,458
1749,GREEN WAY ECO RIDE,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
1750,GREENWHEELS AUTOMOBILE PVT LTD,0,0,0,0,0,"4,178",0,0,0,0,1,0,0,0,0,0,0,"4,179"
1751,GREEN WHEELZ (INDIA),0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,180
1752,GREEN WORLD MOTORS PVT LTD,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15
1753,GREET TRACTORS PVT LTD,0,8,0,0,7,192,0,0,5,0,7,20,0,0,0,0,2,241
1754,GRG SMART VEHICLE PVT LTD,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,3,40
1755,GRINDIA G MOTORS PVT LTD,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
1756,GRL ENGINEERS,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,1,6
1757,GROMAX AGRI EQUIPMENT LTD,0,0,0,0,0,0,0,0,0,0,"6,643","14,446",0,3,100,0,4,"21,196"
1758,GROVE INDIA PVT LTD,0,7,0,0,0,2,0,65,665,0,88,43,0,6,56,0,408,"1,340"
1759,GRUAS LUNA CRANE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1760,GRUAS PENARRDYA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1761,G S ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,2,55,0,0,0,0,0,57
1762,GSICLT G S I C LTD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1763,G S N ENGINEERING WORKS,0,8,0,0,0,0,0,1,1,1,6,22,0,0,1,0,0,40
1764,GSP POWER PROJECTS,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
1765,G T C LTD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1766,G T & F,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,0,46
1767,GT LUNA 251,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3
1768,GTP ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,29
1769,G.T TRADER,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,108
1770,GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),0,262,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,263
1771,GUANGXI LIUGONG MACHINERY CO LTD,0,54,0,0,0,5,0,115,27,1,32,8,0,18,14,1,25,300
1772,GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
1773,GUDIWADA AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,16
1774,GUJARAT AGRICULTURE WORKS,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
1775,GUJARAT AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,186,0,0,1,0,0,0,187
1776,GUJARAT APOLLO INDIA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
1777,GUJARAT ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,118,0,0,1,0,0,0,119
1778,GUJARAT KRUSHI UDYOG,0,0,0,0,0,2,0,0,0,0,29,1,0,0,1,0,0,33
1779,GUJARAT NARMADA AUTO LTD,0,"21,800",28,0,11,34,0,19,1,4,74,366,18,2,2,1,9,"22,369"
1780,GUJARAT STEEL AGRO,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
1781,GUJARAT TRACTOR CORP LTD,0,86,0,0,1,4,0,30,5,0,685,"4,037",22,16,4,0,113,"5,003"
1782,GULAB TRAILOR,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
1783,GULBARGA TRAILERS,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3
1784,GULSHAN AGRO INDUSTRIES,0,1,0,0,0,0,0,4,0,0,319,7,0,2,0,0,0,333
1785,GUNA INDUSTRIES,0,1,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,23
1786,GUNWANT ENGINEERING,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0,0,0,80
1787,GUPTA ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1788,GURDAIAL AGRO TECH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85,86
1789,GURDAS SINGH & SONS,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,32,35
1790,GURDEEP AGRO  INDUSTRIES,0,0,0,0,0,0,0,2,0,0,1,10,0,0,0,0,62,75
1791,GURDEEP COMBINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1792,GURDEEP ENGINEERING WORKS,0,0,0,0,0,10,0,1,0,0,1,33,0,0,1,0,296,342
1793,GURDEV MECHANICAL WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,9
1794,GURDEV MECH. WORKS,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6
1795,GURIYA AGRO INDUSTRIES,0,0,0,0,0,0,0,3,0,0,77,0,0,4,0,0,0,84
1796,GURJANT AGRO IND. SAMANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1797,GURJEET AGRO INDUSTRIES,0,1,0,0,0,11,0,0,0,0,0,10,0,0,0,0,125,147
1798,GURJEET COMBINE,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,32,36
1799,GURM AGRICULTURAL WORKS,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,7,26
1800,GURM AGRICULTURE WORKS,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,63,67
1801,GURMEET LIMTED,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,5
1802,GURMUKH AGRO INDUSTRIES,0,1,0,0,0,0,0,0,0,0,2,27,0,0,4,0,222,256
1803,GURN NANAK INDUSTRY PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,10
1804,GURPREET AND BROTHERS ENGG. PVT LTD,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,30
1805,GURTEJ 930 A/L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1806,GURUDATTA TRAILOR AND ENG WORK,0,0,0,0,0,0,0,0,0,0,1,121,0,0,0,0,0,122
1807,GURUDEV AGRO EQUIPMENT,0,0,0,0,0,0,0,2,0,0,3,1,0,1,0,0,0,7
1808,GURUDEV ENGG WORKS,0,3,0,0,0,0,0,0,0,0,73,15,0,0,0,0,0,91
1809,GURU ENGINEERING WORK,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,2,15
1810,GURU JI WHEELS,0,0,0,0,0,374,0,0,0,0,0,1,0,0,0,0,0,375
1811,GURUKIRPA INDUSTRIES,0,0,0,0,0,988,0,0,0,0,3,22,0,2,3,0,3,"1,021"
1812,GURUKIRPA MOTORS,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,17
1813,GURU KOTTURESHWAR  ENGG W,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,6
1814,GURUKRAPA ENGINEERING WORKS,0,0,0,0,0,1,0,1,0,0,286,361,0,38,44,0,4,735
1815,GURU KRIPA AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,68,0,0,13,0,0,9,90
1816,GURUKRIPA STEEL FABRICATORS,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,68
1817,GURUKRUPA AGRICULTURE,0,3,0,0,0,0,0,1,0,0,64,0,0,0,0,0,0,68
1818,GURU KRUPA TRAILOR,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,22
1819,GURUKRUPA WELDING WORKS,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,9
1820,GURUMAN ENTERPRISES BHWPATNA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1821,GURUMURTI STEEL WELDING WORKS,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
1822,GURU NANAK AGRICULTURE IMPLEMENTS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,8
1823,GURU NANAK AGRI ENGG WORKS,0,0,0,0,0,0,0,0,0,0,1,46,0,7,89,0,"1,874","2,017"
1824,GURU NANAK AGRI WORKS,0,0,0,0,0,0,0,0,0,0,1,35,0,0,16,0,329,381
1825,GURU NANAK AGRO IND.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3
1826,GURU NANAK AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,143,148
1827,GURU NANAK GROUP OF INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1828,GURU NANAK INDUSTRIES PVT LTD,0,1,0,0,0,0,0,0,0,0,0,10,0,0,1,0,24,36
1829,GURUNANAK INDUSTRIES PVT LTD,0,5,0,0,0,1,0,10,1,0,63,211,0,9,11,0,746,"1,057"
1830,GURU RAMDAS AGROTECH,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,32,34
1831,GURU REVANSIDESHWAR INDUSTRE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1832,GURU SHAKTI,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
1833,GURU TRACTORS,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1834,GURU TRAILER,0,0,0,0,0,21,0,0,0,0,40,98,44,0,1,2,0,206
1835,G WILLIAMS FABRICATIONS LTD,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,120
1836,HAARISH AUTOMOTIVES (OPC) PRIVATE LIMITED,0,15,0,0,1,212,0,0,0,0,1,5,0,0,0,0,0,234
1837,H AGRICULTURE WORKS,0,1,0,0,0,0,0,0,0,0,22,89,0,1,0,0,1,114
1838,HAIFE HASSAN,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1839,HAITEK AUTOMOTIVE PVT LTD,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,349
1840,HAJEE HATLE ENGG.WORKS,0,11,0,0,0,0,0,0,0,0,3,95,0,0,0,0,1,110
1841,HAKIKAT AUTO IND,0,4,0,0,0,499,0,1,0,0,72,0,0,1,0,0,1,578
1842,HAKIKOD AUTO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1843,HALASIDDESHWAR AGRO,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,6,12
1844,HALIBURTON OFFSHORE SEVICES LTD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1845,HALLI AGRO INDUSTRIES,0,4,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,21
1846,HALLIBURTON AUST. PVT.LTD.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1847,HALLIBURTON ENERGY SERVICES,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9
1848,HAMM AG,0,3,0,0,0,0,0,3,23,0,4,256,1,1,13,0,58,362
1849,HAMPI TRACTORS,0,5,0,0,0,0,0,19,0,0,21,7,0,14,22,0,13,101
1850,HANAN TRAILER,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
1851,HANUMAN AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,11,"1,062",0,11,0,0,0,"1,084"
1852,HANUMAN UDYOG,0,2,0,0,0,383,0,0,0,0,0,5,0,0,0,0,0,390
1853,HARBHOLE AGRO IND,0,0,0,0,0,0,0,0,0,0,83,1,0,38,0,0,0,122
1854,HARDEV AGRO TECH,0,24,0,0,0,0,0,0,0,0,1,9,1,0,1,0,126,162
1855,HARESH STEEL AGRO INDUSTRIES,0,9,0,0,0,0,0,0,0,0,257,700,0,59,0,0,1,"1,026"
1856,HARESH TRAILOR,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14
1857,HARGOBIND AGRO INDUST.,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,28,32
1858,HARIDARSAN ENG.WO BAREJ,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,37
1859,HARI ENG. WORK,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,276
1860,HARIG INDIA PRIVATE LIMITED,0,2,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,44
1861,HARIG LNDIA PVT. LTD.,0,16,0,0,0,0,0,0,0,0,17,127,0,0,1,0,0,161
1862,HARIHAR AGRO INDUSTRIES,0,1,0,0,0,0,0,0,0,0,69,1,0,1,0,0,0,72
1863,HARIKRISHNA ENG WORK,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1864,HARIKRISHNA TROLLY WORKS,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,25
1865,HARI OM AGRICULTURE,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
1866,HARI OM ENGINEERING WORKS,0,1,0,0,0,0,0,4,0,0,127,0,0,12,0,0,0,144
1867,HARI OM TRAILOR,0,2,0,0,0,0,0,0,0,0,17,0,0,1,0,0,3,23
1868,HARI OM WELDING WORKS,0,0,0,0,0,0,0,0,0,0,8,0,0,17,0,0,0,25
1869,HARIQ I. PVT. LTD.,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1870,HARISH MACHINE TOOLS,0,0,0,0,0,0,0,0,0,0,60,0,0,5,0,0,0,65
1871,HARIYANA AGRO IND.,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
1872,HARJAS AGRO INDUSTRIES,0,3,0,0,0,1,0,0,0,0,4,38,0,0,2,0,66,114
1873,HARJEET AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,3,16,0,0,4,0,638,661
1874,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,"1,182",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,183"
1875,HARMEET AGRICULTURE WORKS,0,16,0,0,0,1,0,1,0,0,1,14,0,1,2,0,601,637
1876,HARNISHA AUTO PVT LTD,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
1877,HARSHA AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,48,17,0,0,0,0,0,65
1878,HARSHAL ENGINEERING,0,0,0,0,0,0,0,0,0,0,1,75,0,0,0,0,1,77
1879,HARSH TRADING CO,0,0,0,0,0,"1,253",0,0,0,0,6,12,0,0,0,0,0,"1,271"
1880,HARSHVIE INDUSTRIES PVT LTD,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,36
1881,HARSIDDHI AGRO IND,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
1882,HARSIDDHI ENGG WORKS,0,0,0,0,0,0,0,0,0,0,155,1,0,0,0,0,0,156
1883,HARSORA ENGINEERING WORKS,0,3,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,89
1884,HARVEL TRACTOR FARM EQUIPMENTS,0,130,0,0,0,0,0,6,1,0,8,26,1,1,0,0,3,176
1885,HARVEST COMBINE,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,65,70
1886,HARYANA AUTOMOBILES,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,3,45
1887,HARYANA MOTORS PVT LTD,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,118
1888,HARYANA TRACTORS LTD,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1889,HASMUKH ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1890,HASSAN TRAILERS,0,11,0,0,0,0,0,0,0,0,86,468,0,0,0,0,0,565
1891,HAULMAX,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,15
1892,HAULMAXX ENGINEERING INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1893,HAULOTTE,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,13
1894,HAULWEL TRAILERS,0,49,0,0,0,0,0,1,1,0,1,6,1,0,0,0,3,62
1895,HAV AUTO MOBILE PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1896,HAWKSPARE LTD.,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,5
1897,HAYASA E-MOBILITY (INDIA) PVT LTD,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1898,HAZRA ENGINEERING WORKS,0,6,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,496
1899,HBSS E MOBILITY PVT LTD,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,61
1900,H. D. AUTOMOTIVES,0,16,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,28
1901,HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,84,89
1902,H-D MOTOR COMPANY INDIA PVT LTD,0,"25,234",13,0,0,54,0,151,4,3,73,318,23,63,2,0,19,"25,957"
1903,HEENA ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,20,73,0,0,0,0,0,93
1904,HEERA AGRO ENG. WORKS P LTD.,0,0,0,0,0,0,0,0,0,0,59,17,0,0,0,0,2,78
1905,HEERA AGRO INDUSTRIES,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1906,HEFEI CHANGE AUTO LTD,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4
1907,HEGDE ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4
1908,HEM AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1909,HEMAVATHI AGRO INDUSTRIES,0,141,0,0,0,0,0,0,0,0,253,"4,092",0,1,3,0,6,"4,496"
1910,HENAN GAOYUAN RD MNT EQ,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,12
1911,HENCON B V HOLLAND,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,18,25
1912,HERCULES CRANE PVT.LTD.,0,5,0,0,0,161,0,53,10,0,0,9,0,12,32,0,15,297
1913,HERO BRIGGS AND STRATTON AUTO LTD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1914,HERO ECO VEHICLES PVT LTD,0,"1,274",0,0,0,41,0,4,0,0,20,6,3,0,0,0,12,"1,360"
1915,HERO ELECTRIC VEHICLE PVT LTD,27,"10,507",181,0,0,207,0,0,0,0,18,146,6,8,0,0,3,"11,103"
1916,HERO ELECTRIC VEHICLES PVT. LTD,10,"2,00,571","2,467",0,0,138,0,0,0,0,1,2,0,0,0,0,0,"2,03,189"
1917,HERO EXPORTS,0,193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,194
1918,HERO HONDA MOTORS  LTD,786,"3,15,14,358","1,750",0,27,272,1,89,60,16,"1,296","6,326",526,17,25,14,"3,458","3,15,29,021"
1919,HERO MOTOCORP LTD,"43,278","7,40,22,238","19,144",11,20,330,125,146,17,35,"1,769","5,024",363,33,12,10,"1,739","7,40,94,294"
1920,HETAL AGRO ENG,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,20
1921,HETTRA HET TRAILER,0,2,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,49
1922,HEW TRAILOR,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
1923,HEXALL MOTORS PVT LTD,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,25
1924,H H AGROTECH,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
1925,H H AGRO TECH,0,1,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,178
1926,H.H.BROTHERS,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
1927,H H MISTRY,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
1928,HHT TRAILERS,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,5
1929,HIDROMEK CONSTRUCTION EQUIPMENT (THAILAND) LTD,0,1,0,0,0,0,0,0,5,0,0,2,0,0,4,0,11,23
1930,HIGHLINE EXTREME LTD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1931,HIGHWAY EARTHMOVING EQU,0,3,0,0,0,0,0,3,0,0,5,0,0,5,2,0,2,20
1932,HIGHWAY ENGINEERING WORKS CUTTACK JAGATPUR,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16
1933,HIGHWAY ENGING WORKS,0,5,0,0,0,0,0,1,0,0,"1,431",1,0,0,0,0,3,"1,441"
1934,HILLMAN MOTORS LTD,0,13,0,0,0,0,0,0,0,0,2,51,1,0,0,0,1,68
1935,HIMACHAL PARDESH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1936,HIMALAYA ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1937,HIMANI AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,5,178,0,0,0,0,0,183
1938,HIMATSINGKA AUTO ENTERPRISES,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,0,0,7
1939,HIMAYLA MOTORS,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
1940,HIMGIRI CARS PVT LTD,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,15
1941,HIM TEKNOFORGE LTD,0,2,0,0,0,"2,113",0,0,0,0,0,3,0,0,0,0,0,"2,118"
1942,HIND AGRO INDUSTRIES,0,5,0,0,0,1,0,4,1,0,21,283,2,2,50,0,963,"1,332"
1943,HIND DRIVE AGENCIES,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
1944,"HIND ENGG WORKS,BHPATNA",0,4,0,0,0,0,0,0,0,0,88,36,18,1,0,0,0,147
1945,HINDUJA   AGRO  LTD,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
1946,HINDUSTAN AGRICULTURAL IMPLEMENTS ANTPR,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,15
1947,HINDUSTAN AGRO IND,0,1,0,0,0,0,0,1,0,0,90,20,0,1,1,0,0,114
1948,HINDUSTAN AGRO INDUSTRIES,0,2,0,0,0,1,0,4,0,0,63,"1,017",2,2,5,0,11,"1,107"
1949,HINDUSTAN AUTO,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,1,36
1950,HINDUSTAN ENGG WORKS,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15
1951,HINDUSTAN ENGINEERING WORKS AP312870753,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,10
1952,HINDUSTAN MOTOR CORPORATION,0,43,0,0,0,"4,964",3,20,9,1,18,"5,220",82,5,11,3,41,"10,420"
1953,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,5,"3,14,832",9,0,33,488,6,"2,239",150,869,"10,667","6,69,116","1,63,601",986,108,"1,126","3,096","11,67,331"
1954,HINDUSTAN MOTORS LTD,0,1,0,0,0,0,0,0,1,0,491,218,3,0,0,0,1,715
1955,"HINDUSTHAN TECHNOLOGIES PVT LTD, CUTTACK",0,2,0,0,0,0,0,0,1,0,9,73,1,2,2,0,228,318
1956,HINDUSTHAN TECHNOLOGIES PVT LTD CUTTACK JAGATPUR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1957,HINO GLOBAL,0,1,0,0,0,0,0,43,0,0,1,2,0,0,0,0,3,50
1958,HINO MOTORS LIMITED,0,45,0,0,0,0,0,153,2,0,7,63,2,0,0,0,0,272
1959,HIRA AGRO INDUSTRIES,0,9,0,0,0,0,0,13,1,0,72,291,0,9,97,0,"2,118","2,610"
1960,HIRA COMBINES PRIVATE LTD,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,33,43
1961,"HIRAKUD MOTORS, SAMBALPUR",0,1,0,0,0,0,0,1,0,0,38,4,1,0,0,0,1,46
1962,HIREN ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,132,22,0,4,0,0,0,158
